"","ensemble.id","human.disease"
"73","ENSP00000218340","Leukocyte adhesion deficiency, type III, 612840 (3)  "
"74","ENSP00000218340","Retinal degeneration, autosomal recessive, clumped pigment type (3)  "
"75","ENSP00000218340","Retinitis pigmentosa 28, 606068 (3)  "
"76","ENSP00000218340","Retinitis pigmentosa-2, 312600 (3)  "
"77","ENSP00000218340","Retinitis pigmentosa-20 (3)  "
"78","ENSP00000218340","Retinitis pigmentosa-22 (2)  "
"79","ENSP00000218340","Retinitis pigmentosa-23 (2)  "
"80","ENSP00000218340","Retinitis pigmentosa-24 (2)  "
"81","ENSP00000218340","Retinitis pigmentosa-25, 602772 (3)  "
"82","ENSP00000218340","Retinitis pigmentosa-26, 608380 (3)  "
"83","ENSP00000218340","Retinitis pigmentosa-27 (3)  "
"84","ENSP00000218340","Retinitis pigmentosa-28 (2)  "
"85","ENSP00000218340","Retinitis pigmentosa-29 (2)  "
"86","ENSP00000218516","Fabry disease, 301500 (3)  "
"87","ENSP00000218516","Fabry disease, cardiac variant, 301500 (3)  "
"88","ENSP00000218516","Premature ovarian failure 6, 612310 (3)  "
"89","ENSP00000219240","Miller syndrome, 264750 (3)  "
"90","ENSP00000219368","Leukodystrophy, dysmyelinating, and spastic paraparesis with or without dystonia, 612443 (3)  "
"91","ENSP00000219833","Hyperglycinuria, 138500 (3)  "
"92","ENSP00000219833","Iminoglycinuria, digenic, 242600 (3)  "
"93","ENSP00000219833","Orthostatic intolerance, 604715 (3)  "
"94","ENSP00000219919","[Glycerol release during exercise, defective] (3)  "
"95","ENSP00000220003","Hypercholesterolemia, familial, 3, 603776 (3)  "
"96","ENSP00000220003","Obesity with impaired prohormone processing, 600955 (3)  "
"97","ENSP00000220003","{Low density lipoprotein cholesterol level QTL 1} (3)  "
"98","ENSP00000220003","{Obesity, susceptibility to, BMIQ12}, 612362 (3)  "
"99","ENSP00000220764","DECR deficiency (2) (?)  "
"100","ENSP00000221130","Hemolytic anemia due to glutathione reductase deficiency (1)  "
"101","ENSP00000221265","CINCA syndrome, 607115 (3)  "
"102","ENSP00000221265","Cold-induced autoinflammatory syndrome, familial, 120100 (3)  "
"103","ENSP00000221265","Muckle-Wells syndrome, 191900 (3)  "
"104","ENSP00000221265","Refsum disease, infantile form, 266510 (3)  "
"105","ENSP00000221265","Zellweger syndrome-3 (3)  "
"106","ENSP00000221363","Mannosidosis, alpha-, types I and II, 248500 (3)  "
"107","ENSP00000221486","Aicardi-Goutieres syndrome 4, 610333 (3)  "
"108","ENSP00000221801","Cutis laxa, autosomal dominant, 123700 (3)  "
"109","ENSP00000221801","Cutis laxa, autosomal recessive, 219100 (3)  "
"110","ENSP00000221801","Cutis laxa, autosomal recessive, type I, 219100 (3)  "
"111","ENSP00000221801","Macular degeneration, age-related, 3, 608895 (3)  "
"112","ENSP00000221801","Synpolydactyly, 3/3'4, associated with metacarpal and metatarsal synostoses, 608180 (3)  "
"113","ENSP00000221801","{Macular degeneration, age-related, 1}, 603075 (3)  "
"114","ENSP00000221975","Diamond-Blackfan anemia 1, 105650 (3)  "
"115","ENSP00000222214","Glutaricaciduria, type I, 231670 (3)  "
"116","ENSP00000222266","Acne inversa, familial, 2, 613736 (3)  "
"117","ENSP00000222381","{Coronary artery disease, susceptibility to} (3)  "
"118","ENSP00000222381","{Coronary artery spasm 2, susceptibility to (3)  "
"119","ENSP00000222381","{Microvascular complications of diabetes 5}, 612633 (3)  "
"120","ENSP00000222381","{Organophosphate poisoning, sensitivity to} (3)  "
"121","ENSP00000222572","{Coronary artery disease, susceptibility to} (3)  "
"122","ENSP00000222584","Epilepsy, generalized, with febrile seizures plus, type 4 (2)  "
"123","ENSP00000222673","Alpha-ketoglutarate dehydrogenase deficiency, 203740 (1)  "
"124","ENSP00000222982","{Hypertension, salt-sensitive essential, susceptibility to}, 145500 (3)  "
"125","ENSP00000223073","Alopecia, neurologic defects, and endocrinopathy syndrome, 612079 (3)  "
"126","ENSP00000223122","Tn syndrome, 300622 (3)  "
"127","ENSP00000223127","Lysyl hydroxylase 3 deficiency, 612394 (3)  "
"128","ENSP00000223528","Cardiomyopathy, dilated, 1X, 611615 (3)  "
"129","ENSP00000223528","Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4, 253800 (3)  "
"130","ENSP00000223528","Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4, 613152 (3)  "
"131","ENSP00000223528","Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4, 611588 (3)  "
"132","ENSP00000223836","Hemolytic anemia due to adenylate kinase deficiency, 612631 (3)  "
"133","ENSP00000223836","[Blood group, John-Milton-Hagen] (3)  "
"134","ENSP00000225573","Pyridoxamine 5'-phosphate oxidase deficiency, 610090 (3)  "
"135","ENSP00000225719","Spinocerebellar ataxia, autosomal recessive 2 (2)  "
"136","ENSP00000225719","{Codeine sensitivity}, 608902 (3)  "
"137","ENSP00000225719","{Debrisoquine sensitivity}, 608902 (3)  "
"138","ENSP00000225737","{Cardiac conduction defect, susceptibility to}, 115080 (3)  "
"139","ENSP00000225873","Peroxisome biogenesis factor 12 (3)  "
"140","ENSP00000225927","Mucopolysaccharidosis type IIIB (Sanfilippo B), 252920 (3)  "
"141","ENSP00000226207","Aortic aneurysm, familial thoracic 4, 132900 (3)  "
"142","ENSP00000226207","Deafness, autosomal dominant 4, 600652 (3)  "
"143","ENSP00000226207","Griscelli syndrome, type 1, 214450 (3)  "
"144","ENSP00000226413","Fertile eunuch syndrome, 228300 (3)  "
"145","ENSP00000226413","Hypogonadotropic hypogonadism (3)  "
"146","ENSP00000226578","Mannosidosis, beta, 248510 (3)  "
"147","ENSP00000227155","{Prostate cancer, susceptibility to}, 176807 (2)  "
"148","ENSP00000227251","Cataract, posterior polar 2 (3)  "
"149","ENSP00000227251","Myopathy, cardioskeletal, desmin-related, with cataract, 608810 (3)  "
"150","ENSP00000227507","von Hippel-Lindau disease, modification of, 193300 (3)  "
"151","ENSP00000227507","{Colorectal cancer, susceptibility to}, 114500 (3)  "
"152","ENSP00000228264","Warsaw breakage syndrome, 613398 (3)  "
"153","ENSP00000228284","Porokeratosis, disseminated superficial actinic, 1, 175900 (3)  "
"154","ENSP00000228318","Anemia, sideroblastic, pyridoxine-refractory, autosomal recessive, 205950 (3)  "
"155","ENSP00000228318","Micochondrial phosphate carrier deficiency, 610773 (3)  "
"156","ENSP00000228958","Leukoencephalopathy with vanishing white matter, 603896 (3)  "
"157","ENSP00000229022","Osteoporosis, involutional, 166710 (1) (?)  "
"158","ENSP00000229022","Rickets, vitamin D-resistant, type IIA, 277440 (3)  "
"159","ENSP00000229270","Hemolytic anemia due to triosephosphate isomerase deficiency (3)  "
"160","ENSP00000229416","Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency, 230450 (3)  "
"161","ENSP00000229416","{Myocardial infarction, susceptibility to}, 608446 (3)  "
"162","ENSP00000229447","Thyroid dyshormonogenesis 4, 274800 (3)  "
"163","ENSP00000230124","Amyotrophic lateral sclerosis 11, 612577 (3)  "
"164","ENSP00000230124","Charcot-Marie-Tooth disease, type 4J, 611228 (3)  "
"165","ENSP00000230732","Deafness, autosomal dominant 15, 602459 (3)  "
"166","ENSP00000231572","Pontocerebellar hypoplasia, type 6, 611523 (3)  "
"167","ENSP00000231790","Colorectal cancer, hereditary nonpolyposis, type 2, 609310 (3)  "
"168","ENSP00000231790","Mismatch repair cancer syndrome, 276300 (3)  "
"169","ENSP00000231790","Muir-Torre syndrome, 158320 (3)  "
"170","ENSP00000231948","Mental retardation, autosomal recessive 2A, 607417 (3)  "
"171","ENSP00000232607","Oroticaciduria (3)  "
"172","ENSP00000233146","Colorectal cancer, hereditary nonpolyposis, type 1, 120435 (3)  "
"173","ENSP00000233146","Mismatch repair cancer syndrome, 276300 (3)  "
"174","ENSP00000233146","Muir-Torre syndrome, 158320 (3)  "
"175","ENSP00000233190","Mitochondrial complex I deficiency, 252010 (3)  "
"176","ENSP00000233202","{Buruli ulcer, susceptibility to}, 610446 (3)  "
"177","ENSP00000233202","{Mycobacterium tuberculosis, susceptibility to infection by}, 607948 (3)  "
"178","ENSP00000233552","Leukoencephaly with vanishing white matter, 603896 (3)  "
"179","ENSP00000233552","Ovarioleukodystrophy, 603896 (3)  "
"180","ENSP00000234111","{Colonic adenoma recurrence, reduced risk of}, 114500 (3)  "
"181","ENSP00000234420","Colorectal cancer, hereditary nonpolyposis, type 5 (3)  "
"182","ENSP00000234420","Endometrial cancer, familial, 608089 (3)  "
"183","ENSP00000234420","Mismatch repair cancer syndrome, 276300 (3)  "
"184","ENSP00000234590","Enolase deficiency (1)  "
"185","ENSP00000235329","Charcot-Marie-Tooth disease, type 2A2, 609260 (3)  "
"186","ENSP00000235329","Hereditary motor and sensory neuropathy VI, 601152 (3)  "
"187","ENSP00000235345","Schneckenbecken dysplasia, 269250 (3)  "
"188","ENSP00000236137","Thiamine-responsive megaloblastic anemia syndrome, 249270 (3)  "
"189","ENSP00000236671","Ceroid lipofuscinosis, neuronal, 10, 610127 (3)  "
"190","ENSP00000236959","AICA-ribosiduria due to ATIC deficiency, 608688 (3)  "
"191","ENSP00000237014","Amyloidosis, hereditary, transthyretin-related, 105210 (3)  "
"192","ENSP00000237014","Carpal tunnel syndrome, familial, 115430 (3)  "
"193","ENSP00000237014","[Dystransthyretinemic hyperthyroxinemia], 145680 (3)  "
"194","ENSP00000238667","Proliferative vasculopathy and hydraencephaly-hydrocephaly syndrome, 225790 (3)  "
"195","ENSP00000239243","Craniosynostosis, type 2, 604757 (3)  "
"196","ENSP00000239243","Parietal foramina 1, 168500 (3)  "
"197","ENSP00000239243","Parietal foramina with cleidocranial dysplasia, 168550 (3)  "
"198","ENSP00000240185","Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3)  "
"199","ENSP00000240185","Frontotemporal lobar degeneration, TARDBP-related, 612069 (3)  "
"200","ENSP00000240851","Chondrosarcoma, extraskeletal myxoid, 612237 (1)  "
"201","ENSP00000241052","ACAT2 deficiency (1) (?)  "
"202","ENSP00000241052","Acatalasemia (3)  "
"203","ENSP00000241052","Alpha-methylacetoacetic aciduria, 203750 (3)  "
"204","ENSP00000241052","Breast cancer, 11:22 translocation associated (1)  "
"205","ENSP00000241052","Carnitine acetyltransferase deficiency (1) (?)  "
"206","ENSP00000241052","Cataract, autosomal recessive congenital 2 (2)  "
"207","ENSP00000241052","Cataract, autosomal recessive congenital 3 (2)  "
"208","ENSP00000241052","Cataract, congenital nuclear, 1 (2)  "
"209","ENSP00000241052","Cataract, congenital nuclear, 2, 609741 (3)  "
"210","ENSP00000241052","Cataract, congenital nuclear, autosomal recessive 3, 611544 (3)  "
"211","ENSP00000241052","Cataract, pulverulent (3)  "
"212","ENSP00000241052","Fish-eye disease, 136120 (3)  "
"213","ENSP00000241052","Hyperleucinemia-isoleucinemia or hypervalinemia (1) (?)  "
"214","ENSP00000241052","Hypervalinemia or hyperleucine-isoleucinemia (1) (?)  "
"215","ENSP00000241052","Male infertility, nonsyndromic, autosomal recessive, 612997 (3)  "
"216","ENSP00000241052","Maple syrup urine disease, type II, 248600 (3)  "
"217","ENSP00000241052","Neuronopathy, distal hereditary motor, type VI, 604320 (3)  "
"218","ENSP00000241052","Norum disease, 245900 (3)  "
"219","ENSP00000241052","Spastic paraplegia-42, 612539 (3)  "
"220","ENSP00000242210","Anemia, hemolytic, due to UMPH1 deficiency, 266120 (3)  "
"221","ENSP00000242480","Charcot-Marie-Tooth disease, type 1D, 607678 (3)  "
"222","ENSP00000242480","Dejerine-Sottas neuropathy, 145900 (3)  "
"223","ENSP00000242480","Neuropathy, congenital hypomyelinating, 1, 605253 (3)  "
"224","ENSP00000242576","Immunodeficiency with hyper IgM, type 4, 608106 (3)  "
"225","ENSP00000243167","Leukodystrophy, dysmyelinating, and spastic paraparesis with or without dystonia, 612443 (3)  "
"226","ENSP00000243167","{Drug addiction, susceptibility to} (3)  "
"227","ENSP00000244137","Prolidase deficiency, 170100 (3)  "
"228","ENSP00000244217","Methylmalonyl-CoA epimerase deficiency, 251120 (3)  "
"229","ENSP00000245157","Bardet-Biedl syndrome 2, 209900 (3)  "
"230","ENSP00000245407","Carnitine deficiency, systemic primary, 212140 (3)  "
"231","ENSP00000245479","Acampomelic campomelic dysplasia, 114290 (3)  "
"232","ENSP00000245479","Campomelic dysplasia with autosomal sex reversal, 114290 (3)  "
"233","ENSP00000245479","Campomelic dysplasia, 114290 (3)  "
"234","ENSP00000245503","Inclusion body myopathy-3, 605637 (3)"
"235","ENSP00000246747","Joubert syndrome 8, 612291 (3)  "
"236","ENSP00000246868","Shwachman-Bodian-Diamond syndrome, 260400 (3)  "
"237","ENSP00000246912","Kallmann syndrome (3)  "
"238","ENSP00000247182","Brachiootic syndrome 3, 608389 (3)  "
"239","ENSP00000247182","Deafness, autosomal dominant 23, 605192 (3)  "
"240","ENSP00000247970","Myoglobinuria, acute recurrent, autosomal recessive, 268200 (3)  "
"241","ENSP00000248114","Myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay, 613076 (3)  "
"242","ENSP00000248553","Charcot-Marie-Tooth disease, axonal, type 2F, 606595 (3)  "
"243","ENSP00000248553","Neuropathy, distal hereditary motor, type IIB, 608634 (3)  "
"244","ENSP00000248633","Adrenoleukodystrophy, neonatal, 202370 (3)  "
"245","ENSP00000248633","Adrenoleukodystrophy, neonatal, 202370 (3)  "
"246","ENSP00000248633","Adrenoleukodystrophy, neonatal, 202370 (3)  "
"247","ENSP00000248633","Peroxisome biogenesis factor 12 (3)  "
"248","ENSP00000248633","Refsum disease, infantile, 266510 (3)  "
"249","ENSP00000248633","Zellweger syndrome, 214100 (3)  "
"250","ENSP00000248633","Zellweger syndrome, 214100 (3)  "
"251","ENSP00000248633","Zellweger syndrome, 214100 (3)  "
"252","ENSP00000248633","Zellweger syndrome, 214100 (3)  "
"253","ENSP00000248633","Zellweger syndrome, complementation group 9 (3)  "
"254","ENSP00000248633","Zellweger syndrome-1, 214100 (3)  "
"255","ENSP00000248923","Glutathioninuria (1)  "
"256","ENSP00000249442","Charcot-Marie-Tooth neuropathy, X-linked recessive, 2 (2)  "
"257","ENSP00000249760","Isovaleric acidemia, 243500 (3)  "
"258","ENSP00000250535","Spondylocostal dysostosis, autosomal recessive, 1, 277300 (3)  "
"259","ENSP00000250617","Mental retardation, X-linked nonspecific, type 46, 300436 (3)  "
"260","ENSP00000251047","Combined factor V and VIII deficiency, 227300 (3)  "
"261","ENSP00000251607","Liver failure, acute infantile, 613070 (3)  "
"262","ENSP00000251607","{Deafness, mitochondrial, modifier of}, 580000 (3)  "
"263","ENSP00000251654","Propionicacidemia, 606054 (3)  "
"264","ENSP00000251810","Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy), 612075 (3)  "
"265","ENSP00000251810","Mitochondrial DNA depletion syndrome 8B (MNGIE type), 612075 (3)  "
"266","ENSP00000251810","Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 5, 613077 (3)  "
"267","ENSP00000251871","Microcephaly, postnatal progressive, with seizures and brain atrophy, 613668 (3)  "
"268","ENSP00000251968","Breast cancer (3)  "
"269","ENSP00000252102","Leigh syndrome due to mitochondrial complex I deficiency, 256000 (3)  "
"270","ENSP00000252455","Polycystic liver disease, 174050 (3)  "
"271","ENSP00000252576","{Thyroid carcinoma, Hurthle cell}, 607464 (3)  "
"272","ENSP00000253233","Combined oxidative phosphorylation deficiency 7, 613559 (3)  "
"273","ENSP00000253577","Anemia, sideroblastic, with ataxia, 301310 (3)  "
"274","ENSP00000253811","Deafness, autosomal dominant 1, 124900 (3)  "
"275","ENSP00000254108","Amyotrophic lateral sclerosis 6, autosomal recessive, with or without frontotemporal dementia, 608030 (3)  "
"276","ENSP00000254442","Amelogenesis imperfecta, hypomaturation type, IIA3, 613211 (3)  "
"277","ENSP00000254657","Advanced sleep phase syndrome, familial, 604348 (3)  "
"278","ENSP00000254719","Treacher Collins syndrome 2, 613717 (3)  "
"279","ENSP00000255006","Macrocephaly, alopecia, cutis laxa, and scoliosis, 613075 (3)  "
"280","ENSP00000255189","Dimethylglycine dehydrogenase deficiency, 605850 (3)  "
"281","ENSP00000255390","Hepatic failure, early onset, and neurologic disorder (3)  "
"282","ENSP00000256190","Charcot-Marie-Tooth disease, type 4B2, 604563 (3)  "
"283","ENSP00000256196","Ovarian carcinoma (3)  "
"284","ENSP00000256646","Alagille syndrome 2, 610205 (3)  "
"285","ENSP00000256997","Lysosomal acid phosphatase deficiency, 200950 (1) (?)  "
"286","ENSP00000257566","Ulnar-mammary syndrome, 181450 (3)  "
"287","ENSP00000258168","Hypercarotenemia and vitamin A deficiency, autosomal dominant, 115300 (3)  "
"288","ENSP00000258774","Basal laminar drusen, 126700 (3)  "
"289","ENSP00000258774","Complement factor H deficiency, 609814 (3)  "
"290","ENSP00000258774","Hemolytic uremic syndrome, atypical, susceptibility to, 1}, 235400 (3)  "
"291","ENSP00000258774","Membranoproliferative glomerulonephritis with CFH deficiency, 609814 (3)  "
"292","ENSP00000258774","{Macular degeneration, age-related, 4}, 610698 (3)  "
"293","ENSP00000258991","Cirrhosis, North American Indian childhood type, 604901 (3)  "
"294","ENSP00000259008","Breast cancer, early-onset, 114480 (3)  "
"295","ENSP00000259008","Fanconi anemia, complementation group J, 609054 (3)  "
"296","ENSP00000259455","{Nicotine dependence, protection against}, 188890 (3)  "
"297","ENSP00000259455","{Nicotine dependence, susceptibility to}, 188890 (3)  "
"298","ENSP00000259469","Diamond-Blackfan anemia 5, 612528 (3)  "
"299","ENSP00000260643","Agammaglobulinemia 2, 613500 (3)  "
"300","ENSP00000260649","Cystinuria, 220100 (3)  "
"301","ENSP00000260665","Leigh syndrome, French-Canadian type, 220111 (3)  "
"302","ENSP00000260682","Tolbutamide poor metabolizer (3)  "
"303","ENSP00000260682","Warfarin sensitivity, 122700 (3)  "
"304","ENSP00000260947","{Breast cancer, susceptibility to}, 114480 (3)  "
"305","ENSP00000261024","Hemochromatosis, type 4, 606069 (3)  "
"306","ENSP00000261192","Hyperleucinemia-isoleucinemia or hypervalinemia (1) (?)  "
"307","ENSP00000261208","Thyroid dyshormonogenesis 4, 274800 (3)  "
"308","ENSP00000261208","[Histidinemia], 235800 (3)  "
"309","ENSP00000261304","Krabbe disease, 245200 (3)  "
"310","ENSP00000261366","Leukodystrophy, adult-onset, autosomal dominant, 169500 (3)  "
"311","ENSP00000261381","{Pseudoxanthoma elasticum, modifier of severity of}, 264800 (3)  "
"312","ENSP00000261416","Sandhoff disease, infantile, juvenile, and adult forms, 268800 (3)  "
"313","ENSP00000261479","{Myocardial infarcation, susceptibility to} (3)  "
"314","ENSP00000261509","{Pancreatic cancer, susceptibility to, 1}, 606856 (3)  "
"315","ENSP00000261596","Majeed syndrome, 609628 (3)  "
"316","ENSP00000261636","Joubert syndrome 8, 612291 (3)  "
"317","ENSP00000261643","Encephalopathy, progressive mitochondrial, with proximal renal tubulopathy due to cytochrome c oxidase deficiency (3)  "
"318","ENSP00000261693","[High density lipoprotien cholesterol level QTL6], 610762 (3)  "
"319","ENSP00000261733","Alcohol sensitivity, acute, 610251 (3)  "
"320","ENSP00000261733","{Esophageal cancer, alcohol-related, susceptibility to} (3)  "
"321","ENSP00000261733","{Hangover, susceptibility to}, 610251 (3)  "
"322","ENSP00000261733","{Sublingual nitroglycerin, susceptibility to poor response to} (3)  "
"323","ENSP00000261772","Charcot-Marie-Tooth disease, axonal, type 2N, 613287 (2)  "
"324","ENSP00000261884","Chromosome 4q32.1-q32.2 triplication syndrome (4)  "
"325","ENSP00000261937","Hemangioma, capillary infantile, somatic, 602089 (3)  "
"326","ENSP00000261937","Lymphedema, hereditary I, 153100 (3)  "
"327","ENSP00000262018","Adhalinopathy, primary (1)  "
"328","ENSP00000262018","Muscular dystrophy, limb-girdle, type 2D, 608099 (3)  "
"329","ENSP00000262374","Congenital disorder of glycosylation, type Ig, 607143 (3)  "
"330","ENSP00000262374","Congenital disorder of glycosylation, type Ik, 608540 (3)  "
"331","ENSP00000262374","Congenital disorder of glycosylation, type Ip, 613661 (3)  "
"332","ENSP00000262374","{Acquired long QT syndrome, reduced susceptibility to}, 152427 (3)  "
"333","ENSP00000262426","Alveolar capillary dysplasia with misalignment of pulmonary veins, 265380 (3)  "
"334","ENSP00000262430","Malonyl-CoA decarboxylase deficiency, 248360 (3)  "
"335","ENSP00000262457","Nephronophthisis 2, infantile, 602088 (3)  "
"336","ENSP00000262464","Contractural arachnodactyly, congenital, 121050 (3)  "
"337","ENSP00000262554","Neuropathy, hereditary sensory and autonomic, type 1, 162400 (3)  "
"338","ENSP00000262613","Nephrolithiasis/osteoporosis, hypophosphatemic, 2, 612287 (3)  "
"339","ENSP00000262648","Kallmann syndrome (3)  "
"340","ENSP00000262648","{Diabetes mellitus, noninsulin-dependent, susceptibility to}, 125853 (3)  "
"341","ENSP00000262812","Gastric cancer, somatic, 137215 (3)  "
"342","ENSP00000262812","Prostate cancer, somatic, 176807 (3)  "
"343","ENSP00000262865","Immunodeficiency due to defect in MAPBP-interacting protein, 610798 (3)  "
"344","ENSP00000262878","Aicardi-Goutieres syndrome 5, 612952 (3)  "
"345","ENSP00000262948","Cardiofaciocutaneous syndrome, 115150 (3)  "
"346","ENSP00000263084","Fanconi anemia, complementation group D1, 605724 (3)  "
"347","ENSP00000263084","Pancreatic cancer, 613347 (3)  "
"348","ENSP00000263084","Prostate cancer, 176807 (3)  "
"349","ENSP00000263084","Wilms tumor, 194070 (3)  "
"350","ENSP00000263084","{Breast cancer, male, susceptibility to}, 114480 (3)  "
"351","ENSP00000263084","{Breast-ovarian cancer, familial, 2}, 612555 (3)  "
"352","ENSP00000263084","{Glioblastoma 3}, 613029 (3)  "
"353","ENSP00000263084","{Medulloblastoma}, 155255 (3)  "
"354","ENSP00000263084","{Pre-B-cell acute lymphoblastic leukemia}, (3)  "
"355","ENSP00000263233","Mental retardation, X-linked, with or without epilepsy, 300802 (3)  "
"356","ENSP00000263253","Colorectal cancer, 114500 (3)  "
